id;name;file;file_content_type;description;project_id
1;Document 1;../fake-data/blob/buildingIfc.ifc;application/octet-stream;This is the first document with important information.;1
2;Image 1;../fake-data/blob/metricFloorplan.jpg;image/jpg;A beautiful landscape image taken during a vacation.;1
3;Spreadsheet 1;../fake-data/blob/spreadsheet.xlsx;application/vnd.openxmlformats-officedocument.spreadsheetml.sheet;Financial data for the quarter.;1
4;Presentation 1;../fake-data/blob/imperialFloorplan.png;image/png;Slides for the upcoming meeting.;1
5;Text File 1;../fake-data/blob/text.txt;text/plain;Lorem ipsum dolor sit amet, consectetur adipiscing elit.;2
6;Document 2;../fake-data/blob/imperialFloorplan.png;image/png;Another document containing detailed analysis.;2
7;Image 2;../fake-data/blob/metricFloorplan.jpg;image/jpg;A family photo taken on a special occasion.;3
8;Spreadsheet 2;../fake-data/blob/imperialFloorplan.png;image/png;Inventory data for the month.;3
9;Presentation 2;../fake-data/blob/imperialFloorplan.png;image/png;Training slides for the team.;4
10;Text File 2;../fake-data/blob/text.txt;text/plain;Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;4
11;Document 3;../fake-data/blob/bootsAndBeans.pdf;application/pdf;Important legal document for review.;5
12;Image 3;../fake-data/blob/metricFloorplan.jpg;image/jpg;Captivating sunset photo captured during a trip.;6
13;Spreadsheet 3;../fake-data/blob/bootsAndBeans.pdf;application/pdf;Sales data for the year.;7
14;Presentation 3;../fake-data/blob/imperialFloorplan.png;image/png;Proposal slides for the client.;8
15;Text File 3;../fake-data/blob/text.txt;text/plain;Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.;9
16;Document 4;../fake-data/blob/bootsAndBeans.pdf;application/pdf;Guidelines document for the project.;10
17;Image 4;../fake-data/blob/metricFloorplan.jpg;image/jpg;A stunning nature photograph with vibrant colors.;11
18;Spreadsheet 4;../fake-data/blob/bootsAndBeans.pdf;application/pdf;Budget details for the upcoming year.;12
19;Presentation 4;../fake-data/blob/imperialFloorplan.png;image/png;Slides for the client pitch.;13
20;Text File 4;../fake-data/blob/text.txt;text/plain;Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.;14
21;Document 5;../fake-data/blob/bootsAndBeans.pdf;application/pdf;Policy document outlining company guidelines.;15
22;Image 5;../fake-data/blob/metricFloorplan.jpg;image/jpg;Photograph capturing a memorable event.;16
23;Spreadsheet 5;../fake-data/blob/bootsAndBeans.pdf;application/pdf;Project timeline and milestones.;17
24;Presentation 5;../fake-data/blob/imperialFloorplan.png;image/png;Slides for the team training session.;18
25;Text File 5;../fake-data/blob/text.txt;text/plain;Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;19
26;Document 6;../fake-data/blob/imperialFloorplan.png;image/png;Technical specifications document for a product.;20
27;Image 6;../fake-data/blob/metricFloorplan.jpg;image/jpg;Portrait photograph of a team member.;21
28;Spreadsheet 6;../fake-data/blob/imperialFloorplan.png;image/png;Employee attendance records for the month.;22
29;Presentation 6;../fake-data/blob/imperialFloorplan.png;image/png;Slides for the department meeting.;23
30;Text File 6;../fake-data/blob/text.txt;text/plain;Lorem ipsum dolor sit amet, consectetur adipiscing elit.;24
31;Document 7;../fake-data/blob/bootsAndBeans.pdf;application/pdf;Terms and conditions document for a service.;25
32;Image 7;../fake-data/blob/metricFloorplan.jpg;image/jpg;Scenic photograph of a famous landmark.;26
33;Spreadsheet 7;../fake-data/blob/metricFloorplan.jpg;image/jpg;Customer feedback and survey data.;27
34;Presentation 7;../fake-data/blob/imperialFloorplan.png;image/png;Slides for the product launch event.;28
35;Text File 7;../fake-data/blob/text.txt;text/plain;Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;29
36;Document 8;../fake-data/blob/metricFloorplan.jpg;image/jpg;Project proposal document for a new initiative.;30
37;Image 8;../fake-data/blob/metricFloorplan.jpg;image/jpg;Group photo of the team celebrating success.;31
38;Spreadsheet 8;../fake-data/blob/bootsAndBeans.pdf;application/pdf;Financial projections for the next quarter.;32
39;Presentation 8;../fake-data/blob/metricFloorplan.jpg;image/jpg;Slides for the product demo to clients.;33
40;Text File 8;../fake-data/blob/text.txt;text/plain;Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.;34
